id,type_desc,seat,weight,traveltime,km,ts1,lat1,lon1,ts2,lat2,lon2
6344,BUS,44,14700,2 days,,,,,,,
6396,BUS,41,18000,0:57:35,55.11385123,10-11-18 10:30,13.457017,100.090983,10-11-18 11:28,13.522483,99.76635
6400,BUS,41,18000,0:57:21,54.28652746,10-11-18 10:31,13.45365,100.085883,10-11-18 11:28,13.52255,99.76655
7049,BUS,46,16800,1:24:14,69.80791404,10-11-18 9:25,13.63585,100.403233,10-11-18 10:49,13.521667,99.971467
7499,BUS,31,13100,3:49:52,157.4331605,10-11-18 13:44,13.75275,100.774433,10-11-18 17:34,14.043767,99.50575
7639,BUS,31,13200,2:07:20,101.5003987,10-11-18 7:08,13.810417,100.512767,10-11-18 9:16,13.522267,99.96915
7651,BUS,31,13200,0:30:25,15.85370669,10-11-18 9:22,13.414633,99.99855,10-11-18 9:52,13.5218,99.966467
7751,BUS,12,3300,0:24:42,13.87893631,10-11-18 8:57,13.418367,99.975733,10-11-18 9:22,13.518817,99.9587
7849,BUS,40,17000,0:59:57,69.36476703,10-11-18 9:58,14.210633,99.214333,10-11-18 10:58,14.5701,98.751783
8871,BUS,10,3300,0:50:54,55.93037306,10-11-18 14:18,14.062517,99.493217,10-11-18 15:09,14.234917,99.0391
8916,BUS,10,3300,1:03:25,63.4626331,10-11-18 10:28,14.419233,99.151583,10-11-18 11:31,14.0478,99.50775
8917,BUS,10,3300,1 day,,,,,,,
8992,BUS,12,3300,0:23:01,24.07055219,10-11-18 10:14,12.91855,99.90675,10-11-18 10:37,13.122767,99.935133
8998,BUS,12,3300,1:40:30,92.19753818,10-11-18 7:39,13.75985,100.5123,10-11-18 9:19,13.5225,99.96895
9080,BUS,12,3300,2:08:49,92.46092555,10-11-18 6:41,13.752467,100.54265,10-11-18 8:50,13.507217,99.97275
9095,BUS,12,3300,1:13:47,75.36086568,10-11-18 7:08,13.749433,100.544617,10-11-18 8:22,13.41235,99.999783
9098,BUS,12,3300,0:40:18,27.6744931,10-11-18 11:50,13.406833,99.998667,10-11-18 12:30,13.5173,99.972467
9123,BUS,12,3300,0:19:07,10.13199948,10-11-18 15:53,13.441517,100.041417,10-11-18 16:12,13.422317,99.956683
9238,BUS,10,3300,2 days,,,,,,,
