id,type_desc,seat,weight,traveltime,km,ts1,lat1,lon1,ts2,lat2,lon2
6380,BUS,44,23500,2:29:00,128.9637655,12-11-18 10:53,13.792283,99.945467,12-11-18 13:22,14.2802,99.006267
6389,BUS,42,23500,2:34:45,128.4435408,12-11-18 10:50,13.798533,99.977183,12-11-18 13:25,14.2777,99.004683
6392,BUS,42,23500,1:32:44,95.36696017,12-11-18 11:52,13.952167,99.756983,12-11-18 13:24,14.278317,99.004167
6395,BUS,44,23500,1:31:49,98.08481742,12-11-18 11:52,13.952133,99.75695,12-11-18 13:24,14.28,99.005817
6396,BUS,41,18000,4:29:17,230.1477686,12-11-18 15:17,13.54465,100.689983,12-11-18 19:47,14.285783,99.011467
6399,BUS,0,18000,1:47:36,98.56001763,12-11-18 11:37,13.923533,99.762783,12-11-18 13:24,14.278317,99.00425
7212,BUS,46,16800,1:55:52,112.4030446,12-11-18 12:05,13.623033,100.390733,12-11-18 14:01,13.026817,99.926
7220,BUS,44,16800,0:14:34,12.16429419,12-11-18 11:21,13.522417,99.9682,12-11-18 11:36,13.414767,99.9654
7475,BUS,31,13100,0:23:17,14.32911338,12-11-18 13:34,13.519567,99.97245,12-11-18 13:57,13.4351,99.943317
7651,BUS,31,13200,2:01:59,91.88597566,12-11-18 7:20,13.75695,100.538017,12-11-18 9:22,13.50705,99.972767
7754,BUS,12,3300,0:11:59,12.14049677,12-11-18 8:57,13.421267,99.982883,12-11-18 9:09,13.50365,99.972917
7758,BUS,12,3300,0:25:32,16.09294885,12-11-18 8:54,13.4108,100.000183,12-11-18 9:19,13.521717,99.965683
7759,BUS,12,3300,0:28:11,15.79533728,12-11-18 8:54,13.410317,99.99915,12-11-18 9:22,13.519533,99.95895
7762,BUS,12,3300,0:12:02,8.070098251,12-11-18 8:51,13.410283,99.999083,12-11-18 9:03,13.4555,99.962983
9157,BUS,10,3300,1:26:50,101.0799357,12-11-18 8:17,13.720733,100.493283,12-11-18 9:44,13.522433,99.968933
9238,BUS,10,3300,0:51:55,74.6656811,12-11-18 16:15,16.355333,99.5768,12-11-18 17:07,15.816517,99.9429
9259,BUS,10,3300,0:41:17,0,12-11-18 8:42,13.458967,99.625833,12-11-18 9:23,13.458967,99.625833
9290,BUS,10,3300,0:19:56,18.85893507,12-11-18 11:46,14.354767,98.95595,12-11-18 12:06,14.220183,99.0604
12421,BUS,11,3300,17:29:39,50.71723302,12-11-18 1:01,13.807467,100.147383,12-11-18 18:31,13.958017,99.756467
12422,BUS,10,3300,6:21:35,261.35055,12-11-18 14:47,13.961767,99.746817,12-11-18 21:08,13.96125,99.749833
13697,BUS,50,23500,2:40:58,159.948705,12-11-18 15:07,15.388472,100.02115,12-11-18 17:48,14.486888,99.47014
13698,BUS,45,23500,1:05:57,70.5372384,12-11-18 3:52,15.3903,100.01798,12-11-18 4:58,15.084059,99.71655
14270,BUS,13,3300,1:59:59,142.4834104,12-11-18 20:22,16.792107,99.162575,12-11-18 22:22,15.809602,99.94895
14276,BUS,10,3300,0:41:58,31.4082734,12-11-18 7:59,13.458027,99.81522,12-11-18 8:41,13.667388,99.89299
14589,BUS,44,20900,3:33:53,204.1686795,12-11-18 10:32,16.722763,99.4667,12-11-18 14:06,15.769981,99.98554
14630,BUS,42,0,0:33:59,35.84789146,12-11-18 10:34,14.03953,99.24872,12-11-18 11:08,14.23639,99.05934
