id,type_desc,seat,weight,traveltime,km,ts1,lat1,lon1,ts2,lat2,lon2
7033,BUS,13,3300,0:18:10,16.29869552,03-11-18 10:40,13.522,99.971483,03-11-18 10:58,13.409767,99.999033
7491,BUS,45,16700,0:54:46,53.76383508,03-11-18 8:24,13.564367,100.27905,03-11-18 9:19,13.521733,99.965233
7651,BUS,31,13200,0:17:47,15.82779417,03-11-18 9:34,13.412317,99.99975,03-11-18 9:52,13.518983,99.9724
7666,BUS,31,13200,0:16:21,8.653583379,03-11-18 19:21,14.01815,99.530083,03-11-18 19:37,13.98125,99.59755
7849,BUS,40,17000,1:26:23,105.635557,03-11-18 12:05,14.622933,98.724267,03-11-18 13:31,14.0505,99.437883
8767,BUS,10,3300,1:12:00,84.66654902,03-11-18 1:27,15.276617,100.095033,03-11-18 2:39,15.929217,99.871217
8968,BUS,14,0,0:19:55,18.32652423,03-11-18 20:28,13.341433,99.93015,03-11-18 20:48,13.219217,99.9896
9011,BUS,12,3300,1:39:25,89.04333476,03-11-18 7:45,13.758533,100.51925,03-11-18 9:24,13.4985,99.973117
9025,BUS,12,3300,0:10:57,11.34226072,03-11-18 8:59,13.4139,99.9682,03-11-18 9:10,13.510783,99.972617
9042,BUS,12,3300,0:10:54,4.267971762,03-11-18 14:16,13.438567,99.942217,03-11-18 14:27,13.423817,99.960133
9069,BUS,12,3300,2:08:19,102.6263801,03-11-18 7:32,13.73815,100.548267,03-11-18 9:40,13.509733,99.97265
9073,BUS,12,3300,0:16:02,11.57044858,03-11-18 19:30,13.468017,99.937117,03-11-18 19:46,13.421317,99.993283
9123,BUS,12,3300,0:24:11,11.84061947,03-11-18 15:48,13.43585,100.045783,03-11-18 16:12,13.421183,99.955583
9124,BUS,12,3300,0:19:13,10.35218117,03-11-18 15:50,13.438567,100.0332,03-11-18 16:10,13.422267,99.955733
9157,BUS,10,3300,0:38:45,0.04978679,03-11-18 10:16,14.107683,99.1572,03-11-18 10:54,14.107433,99.157583
9245,BUS,44,20000,0:55:52,58.97852923,03-11-18 9:51,13.56155,100.275833,03-11-18 10:47,13.3083,99.825467
9247,BUS,13,0,0:24:04,15.01009731,03-11-18 4:30,13.972783,100.093683,03-11-18 4:54,14.022117,99.985517
9298,BUS,12,3300,0:26:56,36.69090648,03-11-18 12:26,12.80545,99.95045,03-11-18 12:53,13.111233,99.931933
10272,BUS,40,19000,1:43:25,100.4333661,03-11-18 5:56,13.68735,100.40395,03-11-18 7:40,13.973033,99.681033
11055,BUS,38,17300,0:13:01,5.746381774,03-11-18 18:31,14.0406,99.5014,03-11-18 18:44,14.026233,99.5269
12422,BUS,10,3300,0:11:17,1.922009727,03-11-18 18:54,13.939083,99.744733,03-11-18 19:05,13.95545,99.75045
12567,BUS,10,3300,1:35:47,116.9822077,03-11-18 8:49,14.8486,100.44495,03-11-18 10:25,15.762367,99.992683
12572,BUS,12,3300,1:27:06,49.54484173,03-11-18 15:31,14.793417,99.573217,03-11-18 16:58,14.565733,99.884367
13696,BUS,44,20700,0:19:38,9.304486657,03-11-18 5:03,15.390205,100.01811,03-11-18 5:22,15.365191,99.95467
13697,BUS,50,23500,0:39:43,39.72171355,03-11-18 10:21,14.412877,99.90202,03-11-18 11:00,14.130237,99.697235
13698,BUS,45,23500,0:35:01,11.39195949,03-11-18 4:50,15.390075,100.01886,03-11-18 5:25,15.36335,99.93582
13699,BUS,45,23500,0:58:17,72.18459973,03-11-18 8:34,15.1443,99.66663,03-11-18 9:32,14.642952,99.87126
13700,BUS,46,20800,0:12:01,10.91560297,03-11-18 4:14,15.389753,100.01779,03-11-18 4:26,15.363004,99.93641
13701,BUS,42,20500,0:23:50,10.84368088,03-11-18 5:01,15.387002,100.01769,03-11-18 5:25,15.363008,99.93707
13702,BUS,32,0,0:21:22,10.87936748,03-11-18 5:03,15.389688,100.0177,03-11-18 5:25,15.36312,99.93844
14103,BUS,40,15700,1:44:55,93.389098,03-11-18 6:50,13.703073,100.58892,03-11-18 8:35,13.519017,99.959114
15459,BUS,53,23500,0:10:55,2.032864361,03-11-18 6:53,13.568229,99.747536,03-11-18 7:04,13.582073,99.75761
16676,BUS,44,18500,0:45:58,42.73823617,03-11-18 7:35,14.091465,100.17611,03-11-18 8:21,14.02964,99.84662
16736,BUS,10,3300,0:29:31,10.44389377,03-11-18 9:16,13.442563,99.96612,03-11-18 9:45,13.52174,99.9663
16741,BUS,10,3300,0:37:03,35.33710449,03-11-18 7:51,13.545582,100.27412,03-11-18 8:28,13.409073,99.999405
18303,BUS,40,17500,0:44:11,27.4275975,03-11-18 9:58,13.507056,99.29054,03-11-18 10:42,13.709782,99.20416
18307,BUS,40,17500,1:21:14,70.22577053,03-11-18 8:06,13.780235,100.17631,03-11-18 9:27,13.980748,99.62813
