id,type_desc,seat,weight,traveltime,km,ts1,lat1,lon1,ts2,lat2,lon2
7651,BUS,31,13200,0:19:31,12.99792094,05-11-18 9:44,13.415283,99.97055,05-11-18 10:03,13.522233,99.9691
7669,BUS,31,13200,2:24:45,103.8812216,05-11-18 10:20,13.75885,100.493533,05-11-18 12:45,13.520117,99.959567
7702,BUS,31,13200,0:54:06,42.98386005,05-11-18 18:29,14.02045,99.5306,05-11-18 19:23,13.848567,99.852533
7753,BUS,12,3300,0:58:27,59.71258005,05-11-18 6:20,13.67315,100.457317,05-11-18 7:19,13.40565,99.999733
7849,BUS,40,17000,0:28:31,25.29875075,05-11-18 7:19,13.443083,100.069667,05-11-18 7:48,13.523117,99.9702
8872,BUS,10,2850,1:23:54,83.24190033,05-11-18 7:33,13.723417,100.510217,05-11-18 8:57,13.510933,99.972383
9025,BUS,12,3300,1:11:46,73.76231558,05-11-18 7:29,13.735,100.520633,05-11-18 8:41,13.408867,99.999817
9030,BUS,12,3300,0:13:42,9.003701359,05-11-18 9:38,13.4483,99.965467,05-11-18 9:52,13.521733,99.966167
9052,BUS,12,3300,1:20:32,89.09603572,05-11-18 7:54,13.7577,100.521867,05-11-18 9:15,13.517117,99.972533
9098,BUS,12,3300,0:29:29,15.94997828,05-11-18 13:19,13.514517,99.972567,05-11-18 13:49,13.40895,99.998167
9104,BUS,12,3300,0:29:24,17.57376564,05-11-18 9:34,13.408333,100.00145,05-11-18 10:04,13.519933,99.958883
9123,BUS,12,3300,0:44:36,22.48744779,05-11-18 9:12,13.429767,100.045417,05-11-18 9:56,13.517717,99.972417
9224,BUS,10,3300,1:08:51,73.22940264,05-11-18 6:56,13.73445,100.519583,05-11-18 8:05,13.40845,99.999517
9259,BUS,10,3300,0:27:57,0,05-11-18 18:57,13.458967,99.625833,05-11-18 19:25,13.458967,99.625833
10263,BUS,44,19100,1:20:53,100.5240279,05-11-18 16:50,12.645233,99.951517,05-11-18 18:11,13.364083,99.948933
12476,BUS,32,13000,0:29:29,26.52946717,05-11-18 8:42,13.442967,100.069283,05-11-18 9:12,13.522967,99.969817
14033,BUS,40,15600,0:20:52,15.81191382,05-11-18 10:59,13.522413,99.96898,05-11-18 11:20,13.408882,99.99965
14062,BUS,40,15200,1:45:48,95.5698605,05-11-18 12:24,13.685643,100.55029,05-11-18 14:09,13.327413,99.82959
14270,BUS,13,3300,1:35:50,128.167142,05-11-18 21:10,16.743044,99.211426,05-11-18 22:46,15.868515,99.913185
18248,BUS,14,3300,0:28:37,30.43177573,05-11-18 6:18,13.741847,100.23872,05-11-18 6:47,13.799365,99.98917
18336,BUS,44,23500,0:34:24,41.87832987,05-11-18 13:32,13.028294,99.92654,05-11-18 14:06,13.341,99.83767
20329,BUS,42,0,2:15:42,139.8960385,05-11-18 19:57,14.869516,100.08719,05-11-18 22:13,15.951054,99.85149
20541,BUS,NULL,20100,0:21:04,15.13475276,05-11-18 10:29,13.512884,99.97274,05-11-18 10:50,13.409597,99.99944
23912,BUS,44,19400,3:07:46,178.1961222,05-11-18 18:12,14.455138,100.07923,05-11-18 21:19,15.815538,99.94334
26557,BUS,35,13900,0:41:02,32.55443264,05-11-18 11:45,13.52026,99.959915,05-11-18 12:26,13.3323,99.969025
28498,BUS,13,3300,1:27:53,89.75407851,05-11-18 7:59,13.736333,100.534483,05-11-18 9:27,13.522583,99.968883
28873,BUS,13,3300,0:21:59,19.96342115,05-11-18 16:02,13.68071,99.76174,05-11-18 16:24,13.537558,99.82524
29173,BUS,10,3300,2:14:42,96.42816763,05-11-18 8:54,13.842734,100.52296,05-11-18 11:09,13.425611,99.956024
29768,BUS,10,3300,0:44:16,37.61070315,05-11-18 10:43,15.6251,100.110565,05-11-18 11:28,15.888376,99.90138
31097,BUS,10,3300,0:57:00,64.34996054,05-11-18 9:12,12.574139,99.954735,05-11-18 10:09,13.112255,99.936646
31220,BUS,13,3300,1:35:44,61.16532284,05-11-18 6:17,14.361204,99.88522,05-11-18 7:53,14.022434,99.984604
31273,BUS,35,14900,0:16:06,13.72788306,05-11-18 13:20,13.521219,99.96186,05-11-18 13:36,13.41615,99.97154
35900,BUS,14,3300,0:33:41,30.02919099,05-11-18 14:10,14.214977,99.22512,05-11-18 14:43,14.068477,99.4017
36669,BUS,41,15100,1:48:27,107.5465757,05-11-18 5:21,13.569025,100.656235,05-11-18 7:09,13.78951,99.89451
36721,BUS,40,14600,1:55:23,110.1963804,05-11-18 7:35,13.78044,100.43303,05-11-18 9:30,14.01698,99.53319
